division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,hole_19,hole_20,hole_21
GOLD,1,1,Andrew Eckert,-7,48,277257,jerseyeckert,-7,48,2,3,2,2,3,3,2,4,2,4,3,2,3,2,3,3,3,2
GOLD,T2,2,Jeff Turner,-6,49,21671,jt9696,-6,49,3,2,3,2,3,4,2,3,2,3,3,2,3,3,3,3,2,3
GOLD,T2,2,Paul Williams,-6,49,24252,aceonthefly,-6,49,3,3,2,3,3,2,3,4,3,3,2,3,3,2,3,2,2,3
GOLD,T2,2,Chris Lindsey,-6,49,158031,bananas420,-6,49,3,3,2,2,3,2,3,3,2,4,3,3,3,2,3,3,2,3
GOLD,5,5,Kendall Wyatt,-4,51,79976,ken1645,-4,51,2,3,3,2,3,3,3,4,3,3,3,3,3,2,3,2,3,3
GOLD,T6,6,Charlie Vercher,-3,52,66995,cverch,-3,52,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,4
GOLD,T6,6,Corey Steinmann ,-3,52,139803,cscobra9,-3,52,3,3,3,2,3,3,3,5,2,3,4,2,3,2,3,3,2,3
GOLD,8,8,Jeff Clark,-2,53,134168,jeffclark,-2,53,4,3,3,2,3,4,3,4,3,3,3,3,2,4,3,2,2,2
BLUE,1,1,Daniel Watson,-7,48,152702,mcp1sr,-7,48,3,3,2,2,3,4,3,4,2,3,2,3,3,2,3,2,2,2
BLUE,2,2,Ryan Cronauer,-5,50,116264,ryancronauer,-5,50,4,2,4,2,3,4,2,4,2,3,3,3,2,3,3,2,2,2
BLUE,3,3,Kyle Jenkins,-4,51,39888,kylejenkins,-4,51,2,3,3,3,3,2,2,4,3,3,3,3,2,3,4,3,2,3
BLUE,T4,4,Nate Golden,-3,52,127611,ngolden21,-3,52,4,3,3,3,3,3,2,4,2,3,3,2,3,2,3,2,3,4
BLUE,T4,4,Jeff Peterson,-3,52,,vikingjpete,-3,52,2,5,3,2,3,3,4,3,3,3,3,2,2,3,3,3,2,3
BLUE,T6,6,Matt Higgins,-2,53,148747,matthiggins,-2,53,3,3,2,3,3,3,2,5,3,3,3,2,2,3,4,3,3,3
BLUE,T6,6,Adam Benton,-2,53,232667,adamwestend,-2,53,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,2,2,3
BLUE,T8,8,Ryan Bahde,-1,54,38147,delrey,-1,54,4,3,2,3,3,4,2,6,2,3,3,2,2,3,3,3,3,3
BLUE,T8,8,Scott Duncan,-1,54,,scottrd9,-1,54,3,3,3,2,3,4,3,6,2,4,2,3,3,2,3,3,2,3
BLUE,T10,10,Joseph Plumb,0,55,128029,joejams,0,55,4,2,3,3,2,3,3,7,2,3,3,3,3,3,3,2,3,3
BLUE,T10,10,Albert Longoria,0,55,134311,albertlongoria,0,55,3,3,3,2,4,2,3,4,3,4,3,2,3,3,3,2,4,4
BLUE,T10,10,Josh Day,0,55,152832,audiosyncrasies,0,55,3,3,2,3,3,3,2,5,2,5,3,3,3,2,3,4,3,3
BLUE,T10,10,ISMAEL LLAMAS JR,0,55,187567,ismaelllamasjr,0,55,3,3,3,3,3,4,3,4,3,3,4,3,3,3,2,2,3,3
BLUE,T14,14,Daniel Vasquez,1,56,258421,liamnoe4321,1,56,3,5,3,3,3,3,3,3,2,5,3,4,3,3,2,2,3,3
BLUE,T14,14,Ted G,1,56,,tedg27,1,56,3,3,3,3,3,4,2,5,3,3,3,3,3,3,4,2,3,3
BLUE,16,16,Bryan Dupree,2,57,98371,bdupree18,2,57,3,3,4,2,3,2,2,5,4,3,3,4,3,3,4,3,3,3
WHITE,T1,1,Walter  Hernandez,-5,50,268739,walterx,-5,50,2,3,2,3,2,3,2,4,2,4,3,3,3,3,3,2,3,3
WHITE,T1,1,Spokes ,-5,50,,spokes,-5,50,3,4,2,2,3,3,2,4,2,3,2,3,2,3,3,3,3,3
WHITE,T3,3,Henry Jackson,-4,51,175694,hcj801,-4,51,3,3,2,2,2,2,2,4,2,5,2,4,3,3,3,4,2,3
WHITE,T3,3,John O’Connor,-4,51,,johnoconn,-4,51,4,3,2,3,3,2,3,3,3,3,3,3,2,4,2,3,3,2
WHITE,T5,5,Phillip Martinez,-2,53,192515,phillip15,-2,53,2,3,3,3,3,3,2,4,2,4,4,2,3,3,3,3,3,3
WHITE,T5,5,Joseph Lyons,-2,53,220409,jl27840,-2,53,2,5,3,3,3,3,3,4,3,3,3,3,2,2,3,3,2,3
WHITE,T5,5,Matthew Patrolia,-2,53,,matthew15,-2,53,2,3,2,3,3,4,3,4,2,4,3,3,2,4,3,3,2,3
WHITE,T8,8,Dylan Epley,-1,54,162111,depley,-1,54,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
WHITE,T8,8,Todd Zwissler,-1,54,168540,tzwissle,-1,54,2,4,2,3,3,3,2,4,4,3,4,3,3,3,3,3,2,3
WHITE,T8,8,Glenn Daigle,-1,54,205860,glenndaigle,-1,54,2,4,2,2,2,3,3,4,3,3,3,4,4,3,3,2,4,3
WHITE,T8,8,Kirby cummings ,-1,54,231215,kirbyc415,-1,54,3,3,2,3,3,4,3,4,2,3,3,3,2,3,3,3,4,3
WHITE,T8,8,Miles Kane,-1,54,,milsman2,-1,54,3,3,3,2,3,3,2,5,2,4,3,3,4,3,3,3,2,3
WHITE,T13,13,Steve Payne,0,55,32546,hockeydoc,0,55,3,3,2,2,4,3,3,3,4,4,4,3,2,3,3,3,3,3
