division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_20,hole_21
WHITE,T12,12,James Yerby,0,55,210220.0,jryerb,0,55,3,5,2,3,4,3,3,4,4,2,4,3,3,2,2,2,3,3
WHITE,T12,12,Blake Meyers,0,55,,glutenator,0,55,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,4,3
WHITE,T12,12,Stacey Duke,0,55,,elduko,0,55,3,4,2,3,3,2,3,3,3,2,4,5,3,3,3,3,3,3
WHITE,T19,19,Grant Ball,1,56,,gballl,1,56,3,3,2,3,3,2,3,3,3,2,4,3,5,3,3,4,4,3
WHITE,T19,19,John Blake,1,56,,jtblake4,1,56,3,3,4,2,4,3,3,3,3,3,4,3,4,3,2,3,3,3
WHITE,21,21,Dennis Woodward,2,57,52512.0,jackpsquat,2,57,3,3,3,3,3,3,3,4,3,3,4,3,4,3,3,3,3,3
WHITE,22,22,Michael Filewicz,4,59,,lifeasmike,4,59,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3
RED,1,1,Stephen Hoffart ,2,57,271729.0,midnightlace,2,57,3,3,2,3,3,3,3,4,3,3,4,4,3,3,3,3,4,3
RED,2,2,Jacob Simpson,6,61,,yungbingus,6,61,3,4,4,3,3,2,3,3,4,6,6,3,4,3,3,2,2,3
RED,3,3,Robert Hartsoe,7,62,,hartsoerob,7,62,4,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,5,4
RED,4,4,Yury Ionov,9,64,,yuryion,9,64,4,3,3,2,4,4,4,4,3,4,5,4,4,4,3,3,3,3
