division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,hole_19,hole_20,hole_21
GOLD,1,1,Andrew Eckert,-10,54,277257.0,jerseyeckert,-10,54,3,2,2,2,3,2,2,3,4,2,3,3,4,3,2,3,2,3,2,2,2
GOLD,T2,2,Paul Williams,-9,55,24252.0,aceonthefly,-9,55,2,3,3,2,2,3,3,3,3,2,3,2,3,3,2,3,2,3,3,2,3
GOLD,T2,2,Corey Steinmann ,-9,55,139803.0,cscobra9,-9,55,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,2,2,3,3,2,2
GOLD,T4,4,Kendall Wyatt,-6,58,79976.0,ken1645,-6,58,3,3,3,3,4,3,4,3,3,2,3,2,2,3,3,2,2,3,3,2,2
GOLD,T4,4,Spokes ,-6,58,,spokes,-6,58,2,3,3,2,4,2,3,4,3,2,4,3,3,2,2,3,3,3,2,2,3
GOLD,T6,6,Justin Stair,-5,59,31445.0,stairboy,-5,59,3,3,3,2,3,3,2,3,2,3,3,2,3,4,3,3,2,4,2,3,3
GOLD,T6,6,Charlie Vercher,-5,59,66995.0,cverch,-5,59,2,3,2,2,2,3,3,3,3,3,5,3,3,3,3,2,3,3,3,2,3
GOLD,T6,6,Adis Ismic,-5,59,128858.0,adisio,-5,59,2,3,3,2,3,3,3,3,4,3,3,2,3,3,3,2,3,3,2,3,3
GOLD,T9,9,Jeff Clark,-4,60,134168.0,jeffclark,-4,60,3,4,3,3,3,3,3,2,3,3,3,2,3,3,2,2,3,3,3,3,3
GOLD,T9,9,Walter  Hernandez,-4,60,268739.0,walterx,-4,60,3,3,3,3,3,2,4,3,3,2,4,3,3,3,3,2,3,3,2,2,3
GOLD,11,11,Chris Steudle ,-2,62,114812.0,chris2018,-2,62,2,4,3,2,4,3,3,3,3,3,4,3,3,3,2,3,2,3,3,3,3
GOLD,12,12,Daniel Vasquez,-1,63,258421.0,liamnoe4321,-1,63,3,4,3,3,4,3,3,3,4,3,4,3,4,2,2,2,2,3,3,3,2
GOLD,13,13,Chris Lindsey,1,65,158031.0,bananas420,1,65,3,3,3,2,3,4,4,3,4,3,3,3,4,3,3,3,3,3,2,3,3
BLUE,1,1,Michael Garcia,-7,57,172561.0,michaelgarcia22,-7,57,3,3,2,2,3,3,2,2,3,2,4,2,3,4,3,3,2,3,3,3,2
BLUE,2,2,Nate Golden,-5,59,127611.0,ngolden21,-5,59,3,3,3,2,3,3,2,3,4,3,3,2,3,3,3,3,3,3,2,2,3
BLUE,3,3,Albert Longoria,-4,60,134311.0,albertlongoria,-4,60,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,4,2,3,3,2,4
BLUE,4,4,Ryan Bahde,-3,61,38147.0,delrey,-3,61,3,3,2,3,4,3,3,3,3,3,4,2,3,3,3,2,3,4,2,2,3
BLUE,T5,5,ISMAEL LLAMAS JR,-2,62,187567.0,ismaelllamasjr,-2,62,2,3,2,3,4,3,3,4,3,4,4,3,4,3,2,2,3,3,2,3,2
BLUE,T5,5,Ted G,-2,62,,tedg27,-2,62,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BLUE,T7,7,Kyle Jenkins,-1,63,39888.0,kylejenkins,-1,63,3,3,3,2,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3
BLUE,T7,7,Scott Brignac,-1,63,142966.0,scottbrignac,-1,63,3,3,2,3,4,3,3,3,3,3,4,2,3,3,3,2,3,3,4,3,3
BLUE,T7,7,Jason niswonger,-1,63,232977.0,jasonniswonger8,-1,63,2,3,2,2,3,2,3,3,3,3,5,4,4,3,4,2,3,3,3,3,3
BLUE,T10,10,Garret posey,0,64,301758.0,garretposey,0,64,3,4,2,2,3,3,3,4,3,3,4,3,4,2,3,2,4,3,3,3,3
BLUE,T10,10,Jeff Peterson,0,64,,vikingjpete,0,64,2,3,3,2,3,3,3,3,2,3,5,3,3,3,3,5,2,3,3,3,4
BLUE,12,12,Matt Higgins,1,65,148747.0,matthiggins,1,65,3,3,2,3,3,3,3,3,3,3,4,3,4,2,3,4,5,3,3,2,3
BLUE,13,13,Phillip Martinez,2,66,192515.0,phillip15,2,66,3,3,2,3,3,3,3,3,4,3,5,3,5,4,2,3,4,3,2,2,3
BLUE,14,14,Dylan Epley,7,71,162111.0,depley,7,71,3,3,3,3,3,3,3,4,3,3,5,3,5,4,4,3,3,3,3,4,3
WHITE,T1,1,Kevin Cheek,-3,61,103077.0,bigmoneycheeks,-3,61,3,3,3,3,2,3,2,3,3,3,3,4,3,3,2,3,2,3,4,3,3
WHITE,T1,1,Stefan Scepanovic,-3,61,271523.0,scepa991,-3,61,3,3,3,3,3,3,2,3,3,2,4,2,4,3,4,3,3,3,2,2,3
WHITE,T3,3,James Yerby,-2,62,210220.0,jryerb,-2,62,3,3,2,2,5,3,3,3,3,2,4,3,3,2,2,2,4,4,3,3,3
