division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2L,hole_3,hole_4,hole_5L,hole_6L,hole_7,hole_8L,hole_9L,hole_10,hole_11,hole_12,hole_13,hole_14L,hole_15,hole_16L,hole_17,hole_18L,hole_19,hole_20L,hole_21
BLUE,T5,5,ISMAEL LLAMAS JR,-3,63,187567,ismaelllamasjr,-3,63,2,5,3,2,3,3,2,4,3,2,3,3,3,3,2,3,5,4,2,3,3
BLUE,T5,5,Jeff Peterson,-3,63,,vikingjpete,-3,63,2,3,3,2,4,3,2,5,3,2,6,4,3,3,3,3,2,3,2,3,2
BLUE,T7,7,Ryan Bahde,-1,65,38147,delrey,-1,65,3,4,3,2,3,3,4,4,3,3,4,2,4,3,3,3,2,4,3,2,3
BLUE,T7,7,Ryan Cronauer,-1,65,116264,ryancronauer,-1,65,3,3,3,3,4,2,2,4,4,2,4,3,3,3,3,3,3,4,3,3,3
BLUE,T9,9,Tommy Samson,0,66,160149,goatkindaguy,0,66,4,4,3,2,3,4,4,3,4,3,4,2,3,3,1,4,3,3,4,2,3
BLUE,T9,9,Dylan Epley,0,66,162111,depley,0,66,3,4,2,3,3,3,3,6,3,3,3,3,3,3,3,3,3,4,2,3,3
BLUE,T9,9,John O’Connor,0,66,,johnoconn,0,66,3,4,2,3,5,3,3,4,3,3,5,3,3,3,3,3,3,3,2,2,3
BLUE,12,12,Joseph Plumb,1,67,128029,joejams,1,67,3,4,2,3,5,3,3,4,3,3,4,3,3,3,3,2,4,3,3,3,3
BLUE,13,13,Daniel Watson,2,68,152702,mcp1sr,2,68,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,4,3,3,4,2
BLUE,T14,14,Kyle Jenkins,3,69,39888,kylejenkins,3,69,3,4,2,3,3,3,3,4,4,3,6,3,3,5,3,3,3,3,3,2,3
BLUE,T14,14,Garret posey,3,69,301758,garretposey,3,69,3,3,2,3,4,3,3,4,5,3,4,3,4,3,3,4,3,3,3,3,3
BLUE,T14,14,Scott Duncan,3,69,,scottrd9,3,69,3,4,4,3,3,4,3,4,3,3,5,4,4,3,2,3,2,3,3,3,3
BLUE,DNF,,Adam Benton,3,45,232667,adamwestend,3,45,3,5,4,3,3,4,3,3,3,2,4,5,,,,,,,,,3
WHITE,1,1,Chris jordan,-4,62,,cjnasty,-4,62,3,4,2,3,3,3,2,4,3,2,4,3,4,4,2,3,3,3,2,2,3
WHITE,2,2,Stefan Scepanovic,-2,64,271523,scepa991,-2,64,3,3,3,2,3,3,3,4,4,2,3,3,3,3,4,4,2,3,3,2,4
WHITE,3,3,Caleb Brammer,0,66,142846,calebrb,0,66,3,4,3,3,4,3,2,4,3,2,4,3,3,4,3,3,3,3,3,3,3
WHITE,4,4,Miles Kane,2,68,,milsman2,2,68,3,3,4,3,2,3,3,4,4,3,5,3,3,4,3,3,3,4,2,3,3
WHITE,5,5,Cody Hoefar,3,69,,callmethedoctor,3,69,3,4,3,2,4,3,3,4,5,2,4,3,5,4,2,3,3,4,2,3,3
WHITE,T6,6,Glenn Daigle,4,70,205860,glenndaigle,4,70,5,3,3,3,3,4,3,4,4,3,5,3,4,3,2,3,3,3,3,3,3
WHITE,T6,6,Grant Ball,4,70,,gballl,4,70,4,3,3,2,4,3,5,3,5,3,4,3,3,4,3,3,3,4,2,3,3
WHITE,T6,6,Robert Dingwall,4,70,,dingwallrobert,4,70,4,4,3,2,4,4,4,6,4,2,3,3,3,3,3,4,3,3,2,3,3
WHITE,9,9,David Sampson,5,71,97141,supersampson,5,71,3,3,3,2,4,5,3,4,4,3,4,3,4,3,3,3,4,4,3,3,3
WHITE,T10,10,Dennis Woodward,9,75,52512,jackpsquat,9,75,3,4,3,3,4,4,3,4,5,3,5,4,4,3,3,3,4,4,3,3,3
WHITE,T10,10,Patrick Fitzgerald,9,75,,prolandscaper,9,75,3,4,3,3,4,4,3,4,3,3,5,5,4,5,3,3,3,4,3,3,3
WHITE,12,12,Garrett Henry,13,79,176222,gremgar,13,79,4,4,3,3,5,4,3,4,4,4,5,3,4,4,4,3,4,4,3,3,4
WHITE,13,13,John Blake,14,80,,jtblake4,14,80,4,5,3,3,3,4,3,6,5,3,5,4,3,4,4,4,4,4,3,3,3
RED,1,1,Drew Collier,8,74,198837,drewcollier,8,74,3,6,3,3,3,3,3,5,5,2,5,4,4,3,3,3,4,4,2,3,3
RED,2,2,Gabriel Salas,9,75,184958,gabrielsimpson4,9,75,5,4,3,3,3,4,4,4,5,2,4,3,3,3,3,4,3,4,3,4,4
RED,3,3,Luis Mansilla,12,78,286398,htxpunchy,12,78,3,3,2,3,4,4,3,7,3,3,6,4,3,4,3,3,3,5,4,4,4
RED,4,4,Tommy Duplechin,16,82,,thurobad,16,82,4,5,3,3,4,4,4,5,4,3,6,3,4,4,3,4,4,5,3,3,4
RED,5,5,Ian McClellan,30,96,,rthawk,30,96,5,6,4,3,4,4,4,6,6,3,6,3,5,5,4,6,4,6,3,5,4
