division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2L,hole_3,hole_4,hole_5L,hole_6L,hole_7,hole_8L,hole_9L,hole_10,hole_11,hole_12,hole_13,hole_14L,hole_15,hole_16L,hole_17,hole_18L,hole_19,hole_20L,hole_21
GOLD,1,1,Matthew Barajas,-10,56,71050,mattbjas,-10,56,3,4,2,2,3,3,4,3,3,2,3,3,2,3,2,3,2,3,2,2,2
GOLD,2,2,Daniel Vasquez,-9,57,258421,liamnoe4321,-9,57,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,2,4,3,2,3,2
GOLD,T3,3,Paul Williams,-6,60,24252,aceonthefly,-6,60,3,4,2,3,3,2,3,4,3,2,4,2,3,3,3,3,2,3,2,3,3
GOLD,T3,3,Charlie Vercher,-6,60,66995,cverch,-6,60,3,4,2,2,3,3,3,4,4,2,4,2,3,3,2,3,2,3,2,3,3
GOLD,T5,5,Joshua Downey,-5,61,114479,joshdowney,-5,61,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,4,2
GOLD,T5,5,Jeff Clark,-5,61,134168,jeffclark,-5,61,3,4,2,2,4,3,2,3,3,2,3,2,4,3,3,3,3,3,2,4,3
GOLD,T5,5,Corey Steinmann ,-5,61,139803,cscobra9,-5,61,3,3,3,2,3,3,3,3,3,3,4,2,3,3,2,3,3,3,3,3,3
GOLD,T5,5,Andrew Eckert,-5,61,277257,jerseyeckert,-5,61,3,4,2,3,3,2,3,3,4,2,3,3,3,3,2,3,3,4,3,3,2
GOLD,9,9,Spokes ,-3,63,,spokes,-3,63,3,4,2,2,3,3,3,4,5,3,3,2,4,3,2,3,2,3,3,2,4
GOLD,10,10,Jeff Turner,-2,64,21671,jt9696,-2,64,3,4,3,2,4,4,3,4,3,2,4,4,3,3,2,3,2,3,2,3,3
GOLD,11,11,Kendall Wyatt,2,68,79976,ken1645,2,68,2,4,3,3,4,4,3,4,4,3,3,4,3,5,3,3,2,3,2,3,3
GOLD,12,12,Chris Lindsey,6,72,158031,bananas420,6,72,3,4,3,2,4,3,3,5,3,3,3,4,4,4,4,3,3,4,3,4,3
BLUE,T1,1,Aaron Guillory,-6,60,112712,arongilly,-6,60,3,4,2,2,3,3,3,3,3,2,3,3,3,3,2,3,4,3,3,2,3
BLUE,T1,1,Michael Garcia,-6,60,172561,michaelgarcia22,-6,60,3,3,2,3,2,3,3,3,3,3,5,2,4,3,3,2,3,3,3,2,2
BLUE,T3,3,Albert Longoria,-5,61,134311,albertlongoria,-5,61,3,3,2,2,2,4,3,3,3,2,3,3,3,3,2,3,3,4,3,4,3
BLUE,T3,3,Walter  Hernandez,-5,61,268739,walterx,-5,61,3,4,3,2,3,2,3,3,3,3,4,3,4,2,4,3,2,3,2,2,3
