division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,hole_19,hole_20,hole_21
GOLD,T1,1,Jeff Clark,-12,52,134168,jeffclark,-12,52,3,2,2,2,2,2,2,3,2,2,3,3,3,3,2,4,3,2,2,2,3
GOLD,T1,1,Andrew Eckert,-12,52,277257,jerseyeckert,-12,52,3,3,2,3,2,2,2,3,2,3,4,2,3,2,3,2,2,2,2,2,3
GOLD,T1,1,Jack Soete,-12,52,,jetpackjack69,-12,52,2,3,3,2,2,2,3,2,3,2,3,2,2,3,2,3,3,2,3,3,2
GOLD,4,4,Joshua Downey,-11,53,114479,joshdowney,-11,53,3,3,2,2,3,2,3,3,3,2,3,2,4,2,3,2,2,3,2,2,2
GOLD,T5,5,Paul Williams,-8,56,24252,aceonthefly,-8,56,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,2,2,3
GOLD,T5,5,Erik Soete,-8,56,,ericsoete,-8,56,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3
GOLD,T7,7,Justin Stair,-6,58,31445,stairboy,-6,58,3,4,2,2,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,3,3
GOLD,T7,7,Jake Hussein,-6,58,120268,jakehussein,-6,58,3,3,3,2,4,3,2,3,2,3,3,2,3,3,3,3,3,2,3,2,3
GOLD,9,9,Kendall Wyatt,-5,59,79976,ken1645,-5,59,3,3,2,2,3,3,3,3,3,3,5,4,2,2,3,2,3,3,2,3,2
GOLD,T10,10,Adis Ismic,-4,60,128858,adisio,-4,60,2,3,3,3,4,3,3,3,3,2,3,2,4,5,3,2,2,3,2,2,3
GOLD,T10,10,Daniel Vasquez,-4,60,258421,liamnoe4321,-4,60,2,2,3,3,4,3,3,3,3,2,3,3,3,2,3,3,3,4,2,3,3
GOLD,T12,12,Charlie Vercher,-3,61,66995,cverch,-3,61,3,3,2,3,3,3,3,4,3,2,4,3,4,3,3,2,3,3,2,2,3
GOLD,T12,12,Tony Washington,-3,61,,teedub1987,-3,61,3,4,3,3,2,2,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3
BLUE,T1,1,Bryan Dupree,-6,58,98371,bdupree18,-6,58,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,2,3,3,4,2,2
BLUE,T1,1,ISMAEL LLAMAS JR,-6,58,187567,ismaelllamasjr,-6,58,3,3,2,3,3,3,2,4,3,2,3,2,3,3,3,2,3,3,3,2,3
BLUE,T3,3,Ryan Bahde,-4,60,38147,delrey,-4,60,3,3,2,3,3,3,3,3,3,2,5,4,3,2,2,2,3,3,3,2,3
BLUE,T3,3,Albert Longoria,-4,60,134311,albertlongoria,-4,60,2,3,2,2,2,3,3,3,3,2,4,3,3,3,3,3,3,4,3,3,3
