division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,hole_19,hole_20,hole_21
GOLD,1,1,Charlie Vercher,-11,53,66995.0,cverch,-11,53,3,3,2,2,3,2,3,3,3,2,3,2,3,2,2,2,3,3,2,2,3
GOLD,T2,2,Justin Stair,-9,55,31445.0,stairboy,-9,55,2,3,2,2,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3
GOLD,T2,2,Walter  Hernandez,-9,55,268739.0,walterx,-9,55,3,3,2,3,2,3,2,3,3,2,4,3,3,3,2,2,3,2,2,2,3
GOLD,T4,4,Jeff Clark,-8,56,134168.0,jeffclark,-8,56,3,3,3,2,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,3
GOLD,T4,4,Daniel Vasquez,-8,56,258421.0,liamnoe4321,-8,56,3,2,2,3,2,3,3,2,4,3,3,3,3,2,3,2,2,2,3,3,3
GOLD,T4,4,Andrew Eckert,-8,56,277257.0,jerseyeckert,-8,56,3,3,2,2,2,2,3,3,4,3,3,2,3,2,3,3,2,3,3,3,2
GOLD,T7,7,Kendall Wyatt,-7,57,79976.0,ken1645,-7,57,3,3,2,2,4,2,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3
GOLD,T7,7,Spokes ,-7,57,,spokes,-7,57,3,3,2,2,3,3,2,3,3,2,5,3,3,3,2,2,2,3,2,3,3
GOLD,9,9,Matt Mihovil,-6,58,193285.0,mmihovil,-6,58,3,3,2,2,2,2,3,3,5,3,4,3,3,3,3,2,2,2,3,2,3
GOLD,T10,10,Jeff Turner,-5,59,21671.0,jt9696,-5,59,3,2,2,2,2,3,2,4,4,2,4,3,3,3,2,3,3,4,3,2,3
GOLD,T10,10,Corey Steinmann ,-5,59,139803.0,cscobra9,-5,59,2,3,2,3,2,2,2,3,4,2,3,4,3,3,4,3,3,3,2,3,3
GOLD,T10,10,Wes Luquette,-5,59,,westfeldt,-5,59,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3
GOLD,T13,13,Paul Williams,-4,60,24252.0,aceonthefly,-4,60,3,3,2,2,3,2,3,3,4,2,4,3,4,3,3,3,3,3,2,2,3
GOLD,T13,13,Chris Wuenscher,-4,60,176190.0,wuenscd,-4,60,4,3,2,2,3,3,3,3,3,2,5,3,3,2,3,2,3,3,3,2,3
GOLD,15,15,Chris Lindsey,-2,62,158031.0,bananas420,-2,62,3,3,2,2,3,3,4,3,4,3,3,3,4,3,3,2,3,3,3,2,3
BLUE,T1,1,Ryan Bahde,-7,57,38147.0,delrey,-7,57,3,3,2,2,3,2,4,4,3,2,4,3,3,3,2,2,2,3,2,2,3
BLUE,T1,1,Albert Longoria,-7,57,134311.0,albertlongoria,-7,57,2,3,2,3,3,3,3,3,3,3,4,2,3,2,3,2,2,3,2,3,3
BLUE,T3,3,Ryan Cronauer,-5,59,116264.0,ryancronauer,-5,59,3,3,2,3,3,4,3,3,3,3,4,2,3,2,2,3,2,3,2,3,3
BLUE,T3,3,ISMAEL LLAMAS JR,-5,59,187567.0,ismaelllamasjr,-5,59,3,3,2,2,2,3,4,3,3,4,3,3,3,3,2,3,2,3,2,3,3
BLUE,5,5,Nate Golden,-4,60,127611.0,ngolden21,-4,60,3,3,2,3,2,3,3,3,3,3,4,3,3,2,2,3,4,3,3,2,3
BLUE,T6,6,Matt Higgins,-1,63,148747.0,matthiggins,-1,63,3,4,2,2,3,2,3,3,4,2,4,3,4,2,3,3,2,4,3,4,3
BLUE,T6,6,Tommy Samson,-1,63,160149.0,goatkindaguy,-1,63,3,4,3,3,3,3,2,3,2,3,4,5,4,2,3,2,3,3,3,2,3
BLUE,T8,8,Scott Brignac,0,64,142966.0,scottbrignac,0,64,3,3,3,3,3,2,3,4,2,4,4,3,3,3,3,3,3,3,3,3,3
BLUE,T8,8,Dylan Epley,0,64,162111.0,depley,0,64,3,3,3,2,3,3,3,3,3,3,5,3,3,4,2,2,4,3,3,3,3
BLUE,10,10,Ted G,3,67,,tedg27,3,67,3,5,3,2,4,2,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3
WHITE,1,1,David Sampson,-7,57,97141.0,supersampson,-7,57,3,3,2,2,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3
WHITE,2,2,Chris jordan,-6,58,,cjnasty,-6,58,3,4,3,2,3,3,3,3,3,2,4,4,3,2,2,2,2,3,2,2,3
WHITE,T3,3,James Yerby,-5,59,210220.0,jryerb,-5,59,3,3,2,2,3,3,3,3,3,3,4,3,4,2,2,2,3,3,3,2,3
WHITE,T3,3,Kirby cummings ,-5,59,231215.0,kirbyc415,-5,59,3,3,3,2,3,2,3,3,5,2,4,2,5,2,3,2,3,2,2,3,2
WHITE,5,5,Glenn Daigle,-4,60,205860.0,glenndaigle,-4,60,3,2,3,3,3,3,3,3,4,2,3,2,3,3,4,2,3,2,3,2,4
WHITE,T6,6,Kevin Cheek,-3,61,103077.0,bigmoneycheeks,-3,61,3,3,2,2,3,2,2,4,3,3,4,3,3,3,3,3,3,3,2,3,4
WHITE,T6,6,Miles Kane,-3,61,,milsman2,-3,61,3,3,2,2,3,3,3,3,3,2,4,4,4,2,3,3,3,3,3,2,3
WHITE,T8,8,Phillip Martinez,-2,62,192515.0,phillip15,-2,62,3,3,3,2,3,2,3,3,3,3,4,3,3,3,3,2,4,4,3,2,3
WHITE,T8,8,Michael Irizarry,-2,62,199113.0,mirizar,-2,62,3,3,3,2,4,3,4,4,3,2,4,3,3,3,2,2,3,3,2,3,3
WHITE,T8,8,Cody Hoefar,-2,62,,callmethedoctor,-2,62,3,3,3,2,3,2,3,3,4,2,5,3,4,2,3,2,3,3,3,3,3
WHITE,11,11,El Rebo,-1,63,295722.0,elrebo,-1,63,2,3,3,2,2,3,3,3,3,2,4,4,4,3,3,2,3,4,4,3,3
WHITE,T12,12,Blake Meyers,1,65,,glutenator,1,65,3,4,2,3,4,3,4,3,3,3,4,3,3,3,3,4,3,2,2,3,3
WHITE,T12,12,Grant Ball,1,65,,gballl,1,65,4,3,2,3,3,3,3,4,3,2,3,4,4,3,3,3,3,3,4,2,3
