division,position,position_raw,name,event_relative_score,event_total_score,pdga_number,username,round_relative_score,round_total_score,hole_1,hole_2L,hole_3,hole_4,hole_5L,hole_6L,hole_7,hole_8L,hole_9L,hole_10,hole_11,hole_12,hole_13,hole_14L,hole_15,hole_16L,hole_17,hole_18L,hole_19,hole_20L,hole_21
GOLD,1,1,Daniel Vasquez,-15,51,258421,liamnoe4321,-15,51,2,3,2,2,2,3,2,3,3,2,4,3,2,3,2,2,2,3,2,2,2
GOLD,2,2,Paul Williams,-10,56,24252,aceonthefly,-10,56,2,3,3,2,3,3,2,3,3,2,4,2,3,3,3,3,2,3,2,2,3
GOLD,3,3,Chris Wuenscher,-9,57,176190,wuenscd,-9,57,3,4,2,2,3,3,2,4,3,2,3,2,3,3,3,3,2,3,3,2,2
GOLD,4,4,Chris Lindsey,-7,59,158031,bananas420,-7,59,3,3,3,2,3,3,2,4,3,2,4,3,3,3,2,3,3,3,3,2,2
GOLD,5,5,Andrew Eckert,-5,61,277257,jerseyeckert,-5,61,2,4,3,3,3,3,2,4,4,2,5,2,4,3,2,3,2,3,3,2,2
GOLD,T6,6,Adis Ismic,-4,62,128858,adisio,-4,62,3,3,4,2,3,3,3,4,4,2,3,3,4,2,3,3,2,3,3,3,2
GOLD,T6,6,Spokes ,-4,62,,spokes,-4,62,3,3,2,2,3,3,3,3,3,3,4,2,4,4,3,3,2,3,3,3,3
GOLD,T8,8,Jeff Turner,-3,63,21671,jt9696,-3,63,3,3,3,2,3,4,3,4,4,2,4,3,3,3,2,3,3,4,3,2,2
GOLD,T8,8,Jeff Clark,-3,63,134168,jeffclark,-3,63,4,3,3,2,3,3,3,4,4,3,4,2,3,3,2,3,2,3,3,3,3
GOLD,10,10,Charlie Vercher,-2,64,66995,cverch,-2,64,2,3,3,2,3,3,3,4,4,3,3,3,3,3,4,3,3,4,3,3,2
GOLD,11,11,Corey Steinmann ,-1,65,139803,cscobra9,-1,65,3,3,3,3,3,3,3,3,2,2,4,5,3,3,3,2,2,4,3,4,4
GOLD,12,12,Kendall Wyatt,0,66,79976,ken1645,0,66,3,4,2,3,4,3,4,4,3,2,4,4,2,4,4,2,3,3,2,3,3
BLUE,1,1,Walter  Hernandez,-11,55,268739,walterx,-11,55,3,3,2,2,3,2,3,3,3,2,4,2,3,3,2,2,3,3,2,3,2
BLUE,T2,2,Aaron Guillory,-9,57,112712,arongilly,-9,57,2,3,2,3,3,3,2,4,3,2,3,3,3,3,3,2,2,3,2,3,3
BLUE,T2,2,Albert Longoria,-9,57,134311,albertlongoria,-9,57,3,4,2,2,2,3,2,4,3,2,3,4,3,2,2,3,2,3,3,3,2
